merged_log_run_id=20260217_082339
[swarm_manager.log] 2026-02-17 08:23:39,740 - SwarmManager - INFO - Swarm monitoring started
[system_20260217_082339.log] 2026-02-17 08:23:39,740 - Main - INFO - Swarm created with 5 drones
[system_20260217_082339.log] 2026-02-17 08:23:39,741 - Main - INFO - Leader elected: Drone 1
[system_20260217_082339.log] 2026-02-17 08:23:39,741 - Main - INFO - Starting GUI...
[swarm_manager.log] 2026-02-17 08:23:55,067 - SwarmManager - INFO - Leader-follow enabled=False
[swarm_manager.log] 2026-02-17 08:23:55,069 - SwarmManager - INFO - Leader command received: TAKEOFF by drone=1
[system_20260217_082339.log] 2026-02-17 08:23:54,567 - Drone_1 - INFO - Drone 1: Armed
[system_20260217_082339.log] 2026-02-17 08:23:54,567 - Drone_2 - INFO - Drone 2: Armed
[system_20260217_082339.log] 2026-02-17 08:23:54,568 - Drone_3 - INFO - Drone 3: Armed
[system_20260217_082339.log] 2026-02-17 08:23:54,568 - Drone_4 - INFO - Drone 4: Armed
[system_20260217_082339.log] 2026-02-17 08:23:54,569 - Drone_5 - INFO - Drone 5: Armed
[system_20260217_082339.log] 2026-02-17 08:23:55,069 - Drone_1 - INFO - Drone 1: Taking off
[system_20260217_082339.log] 2026-02-17 08:23:55,070 - DroneStateManager - INFO - Drone 1 state transition IDLE -> TAKEOFF
[system_20260217_082339.log] 2026-02-17 08:23:55,071 - Drone_2 - INFO - Drone 2: Taking off
[system_20260217_082339.log] 2026-02-17 08:23:55,072 - DroneStateManager - INFO - Drone 2 state transition IDLE -> TAKEOFF
[system_20260217_082339.log] 2026-02-17 08:23:55,072 - Drone_3 - INFO - Drone 3: Taking off
[system_20260217_082339.log] 2026-02-17 08:23:55,073 - DroneStateManager - INFO - Drone 3 state transition IDLE -> TAKEOFF
[system_20260217_082339.log] 2026-02-17 08:23:55,074 - Drone_4 - INFO - Drone 4: Taking off
[system_20260217_082339.log] 2026-02-17 08:23:55,075 - DroneStateManager - INFO - Drone 4 state transition IDLE -> TAKEOFF
[system_20260217_082339.log] 2026-02-17 08:23:55,075 - Drone_5 - INFO - Drone 5: Taking off
[system_20260217_082339.log] 2026-02-17 08:23:55,076 - DroneStateManager - INFO - Drone 5 state transition IDLE -> TAKEOFF
[system_20260217_082339.log] 2026-02-17 08:23:56,790 - DroneStateManager - INFO - Drone 2 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260217_082339.log] 2026-02-17 08:23:56,791 - DroneStateManager - INFO - Drone 3 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260217_082339.log] 2026-02-17 08:23:56,792 - DroneStateManager - INFO - Drone 4 state transition TAKEOFF -> WAITING_FOR_COMMAND
[system_20260217_082339.log] 2026-02-17 08:23:56,793 - DroneStateManager - INFO - Drone 5 state transition TAKEOFF -> WAITING_FOR_COMMAND
[swarm_manager.log] 2026-02-17 08:24:00,813 - SwarmManager - INFO - Leader command received: MOVE_TO_TARGET by drone=1
[ml_system.log] 2026-02-17 08:23:59,918 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.023747
[ml_system.log] 2026-02-17 08:23:59,924 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=501 degree=2 alpha=0.0 val_mse=0.020203
[ml_system.log] 2026-02-17 08:23:59,939 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=501 degree=2 alpha=0.0 val_mse=0.020203
[ml_system.log] 2026-02-17 08:23:59,941 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.020203
[ml_system.log] 2026-02-17 08:23:59,942 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=501 degree=2 alpha=0.0 val_mse=0.020203
[system_20260217_082339.log] 2026-02-17 08:23:59,918 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.023747
[system_20260217_082339.log] 2026-02-17 08:23:59,924 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=501 degree=2 alpha=0.0 val_mse=0.020203
[system_20260217_082339.log] 2026-02-17 08:23:59,939 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=501 degree=2 alpha=0.0 val_mse=0.020203
[system_20260217_082339.log] 2026-02-17 08:23:59,941 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.020203
[system_20260217_082339.log] 2026-02-17 08:23:59,942 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=501 degree=2 alpha=0.0 val_mse=0.020203
[system_20260217_082339.log] 2026-02-17 08:24:00,813 - Drone_1 - INFO - Drone 1: Flying to {'x': 2585.0, 'y': 2580.0, 'z': 60.0}
[system_20260217_082339.log] 2026-02-17 08:24:00,814 - DroneStateManager - INFO - Drone 1 state transition TAKEOFF -> MOVING_TO_TARGET
[system_20260217_082339.log] 2026-02-17 08:24:00,814 - Drone_2 - INFO - Drone 2: Flying to {'x': 2553.9057647468726, 'y': 2622.797543233282, 'z': 60.0}
[system_20260217_082339.log] 2026-02-17 08:24:00,815 - DroneStateManager - INFO - Drone 2 state transition WAITING_FOR_COMMAND -> MOVING_TO_TARGET
[system_20260217_082339.log] 2026-02-17 08:24:00,815 - Drone_3 - INFO - Drone 3: Flying to {'x': 2503.5942352531274, 'y': 2606.450336353161, 'z': 60.0}
