merged_log_run_id=20260217_082116
[swarm_manager.log] 2026-02-17 08:21:16,953 - SwarmManager - INFO - Swarm monitoring started
[system_20260217_082116.log] 2026-02-17 08:21:16,953 - Main - INFO - Swarm created with 5 drones
[system_20260217_082116.log] 2026-02-17 08:21:16,954 - Main - INFO - Leader elected: Drone 1
[system_20260217_082116.log] 2026-02-17 08:21:16,954 - Main - INFO - Starting GUI...
[ml_system.log] 2026-02-17 08:21:37,156 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:21:37,159 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:21:37,161 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:21:37,161 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:21:37,163 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:21:37,156 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:21:37,159 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=451 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:21:37,161 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:21:37,161 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:21:37,163 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=501 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:21:57,300 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=701 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:21:57,310 - PhysicalMLTrainer_Drone3 - INFO - Physical ML model trained drone=3 samples=701 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:21:57,310 - PhysicalMLTrainer_Drone1 - INFO - Physical ML model trained drone=1 samples=651 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:21:57,310 - PhysicalMLTrainer_Drone4 - INFO - Physical ML model trained drone=4 samples=701 degree=2 alpha=0.0 val_mse=0.000000
[ml_system.log] 2026-02-17 08:21:57,311 - PhysicalMLTrainer_Drone2 - INFO - Physical ML model trained drone=2 samples=701 degree=2 alpha=0.0 val_mse=0.000000
[system_20260217_082116.log] 2026-02-17 08:21:57,300 - PhysicalMLTrainer_Drone5 - INFO - Physical ML model trained drone=5 samples=701 degree=2 alpha=0.0 val_mse=0.000000
